date,team_1,team_1_goals,team_2_goals,team_2,team_1_1h_goals,team_2_1h_goals,team_1_2h_goals,team_2_2h_goals,team_1_yellow,team_2_yellow,team_1_red,team_2_red,team_1_1h_corners,team_2_1h_corners,team_1_2h_corners,team_2_2h_corners,team_1_match_corners,team_2_match_corners,team_1_total_corners,team_1_xg,team_2_xg,team_1_shots,team_2_shots,team_1_shots_on_target,team_2_shots_on_target,team_1_fouls,team_2_fouls
2026-06-11,Mexico,2.0,0.0,South Africa,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,4.0,1.46,0.07,16.0,3.0,4.0,2.0,12.0,11.0
2026-06-12,South Korea,2.0,1.0,Czech Republic,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,4.0,5.0,9.0,2.3,0.83,15.0,7.0,6.0,4.0,9.0,16.0
2026-06-12,Canada,1.0,1.0,Bosnia & Herzegovina,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,9.0,1.0,0.0,3.0,9.0,4.0,13.0,1.25,0.98,13.0,8.0,4.0,3.0,10.0,20.0
2026-06-13,USA,4.0,1.0,Paraguay,3.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,4.0,1.42,0.54,16.0,9.0,6.0,1.0,13.0,17.0
2026-06-13,Qatar,1.0,1.0,Switzerland,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,4.0,0.0,6.0,3.0,10.0,13.0,0.6,3.2,6.0,26.0,3.0,7.0,12.0,11.0
2026-06-13,Brazil,1.0,1.0,Morocco,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,6.0,2.0,8.0,1.26,1.37,12.0,14.0,5.0,3.0,16.0,14.0
2026-06-14,Haiti,0.0,1.0,Scotland,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,7.0,1.05,1.05,15.0,9.0,2.0,2.0,23.0,21.0
2026-06-14,Australia,2.0,0.0,Turkey,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,6.0,5.0,8.0,13.0,1.18,1.36,9.0,30.0,4.0,8.0,12.0,4.0
2026-06-14,Germany,7.0,1.0,Curacao,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,8.0,1.0,9.0,4.22,0.41,26.0,8.0,12.0,2.0,18.0,11.0
2026-06-14,Netherlands,2.0,2.0,Japan,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,5.0,4.0,9.0,0.78,0.59,10.0,10.0,6.0,3.0,7.0,7.0
2026-06-15,Ivory Coast,1.0,0.0,Ecuador,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,5.0,3.0,5.0,8.0,1.52,1.01,15.0,12.0,4.0,1.0,10.0,13.0
2026-06-15,Sweden,5.0,1.0,Tunisia,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,6.0,1.33,0.28,13.0,6.0,7.0,2.0,10.0,8.0
2026-06-15,Spain,0.0,0.0,Cape Verde,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,7.0,1.0,11.0,1.0,12.0,2.1,0.2,27.0,6.0,7.0,1.0,10.0,1.0
2026-06-15,Belgium,1.0,1.0,Egypt,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,7.0,9.0,1.35,1.08,15.0,14.0,3.0,3.0,15.0,15.0
2026-06-15,Saudi Arabia,1.0,1.0,Uruguay,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,12.0,4.0,14.0,18.0,0.66,1.72,7.0,27.0,3.0,10.0,11.0,6.0
2026-06-16,Iran,2.0,2.0,New Zealand,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,5.0,1.5,1.24,17.0,14.0,4.0,8.0,10.0,8.0
2026-06-16,France,3.0,1.0,Senegal,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,6.0,4.0,10.0,1.79,0.53,11.0,6.0,8.0,2.0,5.0,9.0
2026-06-16,Iraq,1.0,4.0,Norway,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,5.0,7.0,0.8,2.52,11.0,12.0,1.0,5.0,12.0,13.0
2026-06-17,Argentina,3.0,0.0,Algeria,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,1.26,0.32,10.0,7.0,6.0,0.0,13.0,8.0
2026-06-17,Austria,3.0,1.0,Jordan,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,4.0,3.0,7.0,1.66,0.53,11.0,11.0,4.0,4.0,12.0,7.0
2026-06-17,Portugal,1.0,1.0,D.R. Congo,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,4.0,1.0,5.0,4.0,9.0,0.65,0.87,7.0,8.0,1.0,2.0,9.0,10.0
2026-06-17,England,4.0,2.0,Croatia,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,8.0,2.0,10.0,3.2,0.7,22.0,10.0,11.0,5.0,10.0,12.0
2026-06-18,Ghana,1.0,0.0,Panama,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,1.31,0.73,8.0,11.0,2.0,4.0,9.0,11.0
2026-06-18,Uzbekistan,1.0,3.0,Colombia,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,4.0,7.0,1.16,1.61,8.0,15.0,2.0,4.0,14.0,11.0
2026-06-18,Czech Republic,1.0,1.0,South Africa,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,3.0,3.0,2.0,5.0,5.0,10.0,1.02,1.38,14.0,17.0,3.0,4.0,12.0,10.0
2026-06-18,Switzerland,4.0,1.0,Bosnia & Herzegovina,0.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,4.0,2.0,3.0,1.0,7.0,3.0,10.0,2.06,0.23,13.0,5.0,7.0,3.0,7.0,18.0
